ESATAN 2016 sp2;  MODEL MOVE_II_3_2_CASE_212;  TIME 16 December  2016  04:34:19
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-3.767180459041746E+01,-3.944750595343082E+01,-3.621301497327634E+01,1.156752316478050E-01,1.212651599955553E+01,2.222126598888465E+01,-5.106289358768443E+00,1.201424070462643E+01,1.341353879726060E+01,1.212606229166100E+01,1.383448103615517E+01,1.368983774709135E+01,1.208181349365036E+01,1.990955193144312E+01,1.238544157189996E+01,1.242579318469400E+01,1.235377251019958E+01,8.891638427295083E+00,2.209003616542262E+01,-3.846282699256584E+00,1.237869030078098E+01,1.240503391638734E+01,1.238949920720973E+01,1.241680302246315E+01,1.235116443468772E+01,1.236969502655345E+01,1.235505680187815E+01,1.237995103202823E+01,1.392546274184438E+01,-3.970685831716448E+01,-3.959859522930913E+01,
 6.374000167846680E+01,-3.724894204712539E+01,-3.897877219669311E+01,-3.580518053481281E+01,1.957602920392292E-01,1.219748800482005E+01,2.233254210570183E+01,-5.082760761157855E+00,1.213140821100300E+01,1.354442726203299E+01,1.224355576941548E+01,1.386006803730159E+01,1.372458327308897E+01,1.211657745314328E+01,1.997053147603755E+01,1.239623613943042E+01,1.243670092938114E+01,1.236459175642122E+01,8.965010037536514E+00,2.220169563902207E+01,-3.753788959827085E+00,1.238932451828220E+01,1.241576081152817E+01,1.240044473698206E+01,1.242782709861949E+01,1.236192745581276E+01,1.238034745785061E+01,1.236652602605461E+01,1.239096894088757E+01,1.407279242114349E+01,-3.946208606754789E+01,-3.923675377274755E+01,
 1.274800033569336E+02,-3.682954568794229E+01,-3.851359924787118E+01,-3.540169182143862E+01,2.761368187034758E-01,1.226978055058047E+01,2.244079577857419E+01,-5.054305055524208E+00,1.224980676841922E+01,1.367600958189372E+01,1.236227183081339E+01,1.388675199267392E+01,1.376099894403405E+01,1.215265610839981E+01,2.003147077119190E+01,1.240783589390681E+01,1.244840624010489E+01,1.237622213841478E+01,9.036490640151875E+00,2.231159592628641E+01,-3.659456928697193E+00,1.240076698962788E+01,1.242729507336284E+01,1.241219007148401E+01,1.243964497567613E+01,1.237349727745421E+01,1.239180579041362E+01,1.237878085421145E+01,1.240278313351102E+01,1.422092515911932E+01,-3.920974379197421E+01,-3.886728896322342E+01,
 1.912200050354004E+02,-3.641844578190303E+01,-3.805643555617286E+01,-3.500510701253903E+01,3.619997006432379E-01,1.234287116653211E+01,2.254798313920667E+01,-5.020015037009636E+00,1.237049326413282E+01,1.380906288665689E+01,1.248329419055997E+01,1.391443517670777E+01,1.379894929578260E+01,1.218999622028068E+01,2.009221141717683E+01,1.242020527224149E+01,1.246087803284517E+01,1.238862414041040E+01,9.105974666513042E+00,2.241994026724779E+01,-3.563798646145345E+00,1.241298344756277E+01,1.243960074879577E+01,1.242469772768825E+01,1.245221717365673E+01,1.238583888765118E+01,1.240403803946671E+01,1.239178502577153E+01,1.241535784342552E+01,1.436940768829617E+01,-3.894936286151862E+01,-3.849220525863331E+01,
 2.549600067138672E+02,-3.601918111384370E+01,-3.761066686918975E+01,-3.461795765274303E+01,4.497093683561530E-01,1.241859167618568E+01,2.265381687804193E+01,-4.979653826713902E+00,1.249289286421370E+01,1.394336337060570E+01,1.260610171344731E+01,1.394305686212355E+01,1.383833696365774E+01,1.222847716116997E+01,2.015277234943619E+01,1.243332053798939E+01,1.247409592870911E+01,1.240177680231887E+01,9.173296760188778E+00,2.252682777743751E+01,-3.467461786077524E+00,1.242595306516091E+01,1.245265676694043E+01,1.243794318903758E+01,1.246553012250974E+01,1.239893203707722E+01,1.241702359554925E+01,1.240550185889454E+01,1.242866739184425E+01,1.451774590740886E+01,-3.868201801828775E+01,-3.811375748494648E+01,
 3.187000083923340E+02,-3.563495267211645E+01,-3.717951023386774E+01,-3.424338852904988E+01,5.383859458597775E-01,1.249703398637652E+01,2.275846986310200E+01,-4.934685912220472E+00,1.261677150614443E+01,1.407853482531478E+01,1.273043294619701E+01,1.397257068686112E+01,1.387899904897523E+01,1.226790691758821E+01,2.021316144828272E+01,1.244715462769169E+01,1.248803562415313E+01,1.241565221250434E+01,9.238409935189077E+00,2.263237844201266E+01,-3.371460240161255E+00,1.243965220158652E+01,1.246644041355270E+01,1.245189830741821E+01,1.247955601810533E+01,1.241275220342989E+01,1.243073842905662E+01,1.241990308004323E+01,1.244268211474041E+01,1.466551128171313E+01,-3.840906040330448E+01,-3.773438181745405E+01,
 3.824400100708008E+02,-3.526822307448515E+01,-3.676769585534092E+01,-3.388372187557339E+01,6.273891903940100E-01,1.257765549307469E+01,2.286255866101014E+01,-4.884241184770783E+00,1.274215141138055E+01,1.421437261141897E+01,1.285623701150236E+01,1.400286563013338E+01,1.392082804938372E+01,1.230800938157075E+01,2.027341538082611E+01,1.246168423990577E+01,1.250267361294901E+01,1.243022585049097E+01,9.301246832450097E+00,2.273669813385456E+01,-3.276591712682935E+00,1.245405734878992E+01,1.248092884354334E+01,1.246654000911013E+01,1.249427045982601E+01,1.242727429915295E+01,1.244515872589146E+01,1.243496867614647E+01,1.245737934879218E+01,1.481226888998100E+01,-3.813217475264312E+01,-3.735688343086922E+01,
 4.461800117492676E+02,-3.492231963195379E+01,-3.637851048251683E+01,-3.353997470460357E+01,7.212523323689013E-01,1.265985816020724E+01,2.296589224869705E+01,-4.829569757511490E+00,1.286853080227769E+01,1.435041240241552E+01,1.298315578506138E+01,1.403383336302083E+01,1.396362047715271E+01,1.234890460636886E+01,2.033351044291995E+01,1.247688171153567E+01,1.251798332836284E+01,1.244547120920927E+01,9.361682569844628E+00,2.283994088450126E+01,-3.183413136245967E+00,1.246913799783797E+01,1.249609546777446E+01,1.248184076617640E+01,1.250964321577678E+01,1.244246839613802E+01,1.246025342537522E+01,1.245065797711878E+01,1.247273090501341E+01,1.495738343167078E+01,-3.785152032447619E+01,-3.698389819999646E+01,
 5.099200134277344E+02,-3.459924898174107E+01,-3.601450242948653E+01,-3.321904439687827E+01,8.165177868195468E-01,1.274342821330271E+01,2.306835851216648E+01,-4.771250221334663E+00,1.299534110699936E+01,1.448669913798257E+01,1.311053950081851E+01,1.406551017906038E+01,1.400731469720985E+01,1.239055343766129E+01,2.039352217175016E+01,1.249271940905498E+01,1.253393320317994E+01,1.246136305776827E+01,9.419663383034569E+00,2.294224442117922E+01,-3.092570027489627E+00,1.248487260909690E+01,1.251190905633064E+01,1.249777193162766E+01,1.252564509422582E+01,1.245831588403304E+01,1.247600326593670E+01,1.246696872853760E+01,1.248871172341337E+01,1.510036071167030E+01,-3.756876551314807E+01,-3.661734965617821E+01,
 5.736600151062012E+02,-3.430057299764599E+01,-3.567853530143124E+01,-3.292196282593060E+01,9.067941320139133E-01,1.282905014241738E+01,2.317021871047682E+01,-4.709541943738559E+00,1.312179723377985E+01,1.462277154400317E+01,1.323766423492937E+01,1.409792356535730E+01,1.405186182813579E+01,1.243270498356117E+01,2.045348849332687E+01,1.250919004121880E+01,1.255051532466030E+01,1.247789376943860E+01,9.475250158336834E+00,2.304385605270148E+01,-3.004825801379599E+00,1.250125169382562E+01,1.252836392174921E+01,1.251432760141134E+01,1.254226794934249E+01,1.247480695050707E+01,1.249239795873559E+01,1.248389241527133E+01,1.250531626100040E+01,1.524096455246468E+01,-3.728672637997204E+01,-3.625992631440379E+01,
