ESATAN 2016 sp2;  MODEL MOVE_II_3_2_CASE_222;  TIME 17 December  2016  17:24:49
 ;;
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,;;
 0.000000000000000E+00,-3.654426397661781E+01,-3.834958351346977E+01,-3.501924772082435E+01,2.150108535585281E+00,1.436638940534548E+01,2.444741513637268E+01,-2.438612369919403E+00,1.433111176446114E+01,1.571343181324077E+01,1.444422867549158E+01,1.616520572183910E+01,1.584608987056087E+01,1.438916819039598E+01,2.223696524917567E+01,1.498997482455701E+01,1.503096811541358E+01,1.495551287732433E+01,1.115310458278679E+01,2.432300268168841E+01,-1.496579870521135E+00,1.498256610224955E+01,1.500962876107247E+01,1.499394224240422E+01,1.502183839323120E+01,1.495226215954044E+01,1.497292620187357E+01,1.495564677174548E+01,1.498368033668637E+01,1.611203725749304E+01,-3.853340257978400E+01,-3.844892797818523E+01,;;
 6.374000167846680E+01,-3.612670413285547E+01,-3.788601334767792E+01,-3.461698527935172E+01,2.224145850460173E+00,1.443084033821149E+01,2.455218635134393E+01,-2.421309912336478E+00,1.444061749303312E+01,1.583619491518252E+01,1.455402065881106E+01,1.618420386876464E+01,1.587470335909486E+01,1.441738725040833E+01,2.229117364268748E+01,1.499340641449651E+01,1.503451004788892E+01,1.495897918874235E+01,1.122018146544208E+01,2.442825572229778E+01,-1.407964284374679E+00,1.498583898655574E+01,1.501299335939757E+01,1.499752729754113E+01,1.502550203039781E+01,1.495567384949052E+01,1.497621780740466E+01,1.495977187860575E+01,1.498733875350676E+01,1.625198545463579E+01,-3.829300761965693E+01,-3.809206656370007E+01,;;
 1.274800033569336E+02,-3.571266797044411E+01,-3.742604925503219E+01,-3.421909356535680E+01,2.298534366862325E+00,1.449665873724183E+01,2.465403378171699E+01,-2.398999107066256E+00,1.455145271350948E+01,1.595973449534884E+01,1.466513096553892E+01,1.620435345677888E+01,1.590504788067522E+01,1.444698189711925E+01,2.234537614236011E+01,1.499767775741514E+01,1.503888880588660E+01,1.496329025052295E+01,1.128539836741502E+01,2.453175786276510E+01,-1.317530152362721E+00,1.498995449699251E+01,1.501720121130417E+01,1.500194656906148E+01,1.502999535698365E+01,1.495992682638273E+01,1.498035107364379E+01,1.496471707196801E+01,1.499182925823058E+01,1.639274871861110E+01,-3.804509696430829E+01,-3.772763582959244E+01,;;
 1.912200050354004E+02,-3.530696111958228E+01,-3.697413642776318E+01,-3.382813087142728E+01,2.378452251012840E+00,1.456329680353944E+01,2.475482674747590E+01,-2.370851213634206E+00,1.466459629318000E+01,1.608476463249864E+01,1.477856900024721E+01,1.622555398614916E+01,1.593698534006823E+01,1.447789442461405E+01,2.239941339509305E+01,1.500275763065900E+01,1.504407279867135E+01,1.496841187300605E+01,1.134864049606617E+01,2.463371549562777E+01,-1.225788160104955E+00,1.499488287505415E+01,1.502221925005590E+01,1.500716700252420E+01,1.503528171797268E+01,1.496499046658213E+01,1.498529714761371E+01,1.497045035476032E+01,1.499711912540440E+01,1.653387865247158E+01,-3.778920085111206E+01,-3.735763791183781E+01,;;
 2.549600067138672E+02,-3.491311627766595E+01,-3.653365631062637E+01,-3.344662244432384E+01,2.460254109970959E+00,1.463258495935726E+01,2.485427824961135E+01,-2.336629897735114E+00,1.477947325622404E+01,1.621106230097786E+01,1.489381261610814E+01,1.624774164958471E+01,1.597041374993666E+01,1.450999970227262E+01,2.245330317524576E+01,1.500862168903650E+01,1.505004105216894E+01,1.497432247814747E+01,1.140974216077983E+01,2.473422803135886E+01,-1.133385665457439E+00,1.500060270040472E+01,1.502802582091098E+01,1.501316345690076E+01,1.504134691874559E+01,1.497084390504811E+01,1.499103482110216E+01,1.497693437055114E+01,1.500318204373506E+01,1.667488123279897E+01,-3.752639267570446E+01,-3.698432455319474E+01,;;
 3.187000083923340E+02,-3.453432757397568E+01,-3.610782089184544E+01,-3.307770568316955E+01,2.543055403467976E+00,1.470461419542700E+01,2.495256141315998E+01,-2.297799598601070E+00,1.489584948198314E+01,1.633825136096929E+01,1.501060021318086E+01,1.627086718391437E+01,1.600516568491932E+01,1.454310176541056E+01,2.250705221531138E+01,1.501524222137139E+01,1.505676862749171E+01,1.498099350067375E+01,1.146865643437626E+01,2.483341575905815E+01,-1.041336181941316E+00,1.500708970555209E+01,1.503459758948888E+01,1.501990712452366E+01,1.504816249706616E+01,1.497746197651341E+01,1.499753943431062E+01,1.498414015181881E+01,1.500998768443457E+01,1.681532806596312E+01,-3.725802195167419E+01,-3.661012814367749E+01,;;
 3.824400100708008E+02,-3.417305032542069E+01,-3.570135447263613E+01,-3.272369500106493E+01,2.626210625749315E+00,1.477884184081777E+01,2.505029297824988E+01,-2.253490738948987E+00,1.501374713977204E+01,1.646612723277180E+01,1.512888085687894E+01,1.629481691221146E+01,1.604112957832841E+01,1.457692109000830E+01,2.256069627128728E+01,1.502259527037470E+01,1.506423137518827E+01,1.498839975915470E+01,1.152531590604128E+01,2.493138484017686E+01,-9.504369718407567E-01,1.501431974355705E+01,1.504191107952137E+01,1.502737426447194E+01,1.505570338260582E+01,1.498481894209820E+01,1.500478653137128E+01,1.499204699036020E+01,1.501751271303536E+01,1.695478442411443E+01,-3.698577144295085E+01,-3.623784950170180E+01,;;
 4.461800117492676E+02,-3.383260393755298E+01,-3.531753707341820E+01,-3.238559939797514E+01,2.714243908871164E+00,1.485466982843630E+01,2.514728217241015E+01,-2.204953471292760E+00,1.513266445446702E+01,1.659422570951622E+01,1.524829642124036E+01,1.631948008617664E+01,1.607809880429506E+01,1.461157444686342E+01,2.261421092735823E+01,1.503065249929549E+01,1.507240206100476E+01,1.499651407589074E+01,1.157959556263378E+01,2.502828957392578E+01,-8.612444581605612E-01,1.502226165368745E+01,1.504993904882553E+01,1.503553666191141E+01,1.506393865549825E+01,1.499288421495309E+01,1.501274439843983E+01,1.500061351007196E+01,1.502572825115130E+01,1.709261525635172E+01,-3.670979804399656E+01,-3.587011977738398E+01,;;
