ESATAN 2016 sp2;  MODEL MOVE_II_3_1_CASE_122;  TIME 16 December  2016  03:15:22
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-3.175834281725995E+01,-3.378390486763029E+01,-2.986202641133830E+01,1.188740403400733E+01,2.863688203741140E+01,3.958484945460340E+01,7.393686872740822E+00,2.532984187530112E+01,2.663380951470671E+01,2.537428703252602E+01,2.758447048785339E+01,2.634779343366951E+01,2.585364399564993E+01,3.437160483534273E+01,2.689535823238202E+01,2.694285737488406E+01,2.685654386093039E+01,2.310085543471901E+01,3.905031477727507E+01,8.106556642666964E+00,2.688767609659123E+01,2.691887020281593E+01,2.690018739466801E+01,2.693244601822415E+01,2.685371976495373E+01,2.687690442101587E+01,2.685916927992283E+01,2.688886049886312E+01,2.661468597948571E+01,-3.385881455998841E+01,-3.371888705981514E+01,
 6.374000167846680E+01,-3.133523961826433E+01,-3.331365642722170E+01,-2.945420548696976E+01,1.197086145850894E+01,2.872361360117354E+01,3.972506681085395E+01,7.415702714213252E+00,2.546414029964206E+01,2.678288338115572E+01,2.550886587692536E+01,2.761053214638660E+01,2.638572232474686E+01,2.589186197321461E+01,3.444061013914628E+01,2.690082036780852E+01,2.694850192472698E+01,2.686209433666353E+01,2.319185971870101E+01,3.919094373143384E+01,8.200169473986254E+00,2.689299354911379E+01,2.692431635595714E+01,2.690581998709685E+01,2.693819645112920E+01,2.685923754938753E+01,2.688225014977716E+01,2.686546917008521E+01,2.689458180993783E+01,2.678052270346364E+01,-3.361321288206967E+01,-3.335645086864084E+01,
 1.274800033569336E+02,-3.091588665930741E+01,-3.284734283134812E+01,-2.905101317614006E+01,1.205496810736021E+01,2.881163732999762E+01,3.986146855665213E+01,7.443037337975952E+00,2.559958951643712E+01,2.693229383688811E+01,2.564457693383254E+01,2.763806459201512E+01,2.642585719790108E+01,2.593180681816919E+01,3.450977581022049E+01,2.690744756609469E+01,2.695530675129294E+01,2.686881456347714E+01,2.328082480182674E+01,3.932940296974601E+01,8.295928744407501E+00,2.689947840140276E+01,2.693092958318846E+01,2.691261094372698E+01,2.694510119400946E+01,2.686592027752587E+01,2.688876172619651E+01,2.687291146330928E+01,2.690145878458789E+01,2.694706374826792E+01,-3.336016289942066E+01,-3.298649975357292E+01,
 1.912200050354004E+02,-3.050528608354553E+01,-3.238949655297872E+01,-2.865512392363561E+01,1.214495975511363E+01,2.890030967460054E+01,3.999643186082737E+01,7.476498459875195E+00,2.573734733273317E+01,2.708297649615305E+01,2.578261305642567E+01,2.766696092726618E+01,2.646793520159143E+01,2.597340206824628E+01,3.457889464051285E+01,2.691520143721441E+01,2.696323423604713E+01,2.687666340130208E+01,2.336759582326806E+01,3.946589480756569E+01,8.393262489098987E+00,2.690709459369929E+01,2.693867094260042E+01,2.692052033348021E+01,2.695311571071640E+01,2.687373140573689E+01,2.689640442558716E+01,2.688145641782447E+01,2.690945198734908E+01,2.711382674268181E+01,-3.309916794862485E+01,-3.261109277610090E+01,
 2.549600067138672E+02,-3.010700138883980E+01,-3.194357471550109E+01,-2.826907730317525E+01,1.223711082831765E+01,2.899173478385325E+01,4.012962561159961E+01,7.516284452120990E+00,2.587677990943666E+01,2.723470603331815E+01,2.592240679379158E+01,2.769715081187719E+01,2.651182828075486E+01,2.601650244641677E+01,3.464796092048825E+01,2.692405252722483E+01,2.697225809642770E+01,2.688561406637728E+01,2.345194737065677E+01,3.960052544159868E+01,8.491462994003864E+00,2.691581547749401E+01,2.694751352811640E+01,2.692951796994181E+01,2.696222062224344E+01,2.688264485796199E+01,2.690515184293976E+01,2.689106139965470E+01,2.691853012711580E+01,2.728030394028630E+01,-3.283132755243929E+01,-3.223252833357196E+01,
 3.187000083923340E+02,-2.972425610617156E+01,-3.151285145364874E+01,-2.789603700726669E+01,1.233049633986519E+01,2.908599539936751E+01,4.026123986902888E+01,7.560749179440450E+00,2.601759792619090E+01,2.738711254810540E+01,2.606364371504448E+01,2.772857137034181E+01,2.655735117080355E+01,2.606088882125393E+01,3.471696777796684E+01,2.693396701823643E+01,2.698234733614259E+01,2.689563175980406E+01,2.353377432586234E+01,3.973341852260266E+01,8.589449942314079E+00,2.692561063694650E+01,2.695742777842506E+01,2.693956889646498E+01,2.697238142302682E+01,2.689262893046669E+01,2.691497312386354E+01,2.690169101274966E+01,2.692865664302828E+01,2.744605556556554E+01,-3.255801993198173E+01,-3.185328515472141E+01,
 3.824400100708008E+02,-2.935952830045364E+01,-3.110212710196474E+01,-2.753832695512833E+01,1.242441942646402E+01,2.918243548009669E+01,4.039196540637726E+01,7.610816532600512E+00,2.615980511288646E+01,2.753999663142288E+01,2.620625504451076E+01,2.776109342952554E+01,2.660436663595111E+01,2.610625325218634E+01,3.478593267916030E+01,2.694491433994065E+01,2.699347116381434E+01,2.690668468384601E+01,2.361295659103169E+01,3.986468562110989E+01,8.686360803837536E+00,2.693644937898245E+01,2.696838368620038E+01,2.695064268437179E+01,2.698356625275456E+01,2.690365144428767E+01,2.692583726250582E+01,2.691331749829429E+01,2.693980145939324E+01,2.761064042415394E+01,-3.228095961976956E+01,-3.147621143167978E+01,
 4.461800117492676E+02,-2.901626578288236E+01,-3.071473435989795E+01,-2.719711238723042E+01,1.252332241711660E+01,2.928039171464625E+01,4.052157785519918E+01,7.665079660886157E+00,2.630287313431187E+01,2.769290382859003E+01,2.634986355083885E+01,2.779458749711666E+01,2.665263746849883E+01,2.615268798945297E+01,3.485478903333954E+01,2.695685906161419E+01,2.700559564984323E+01,2.691873874795847E+01,2.368932662340692E+01,3.999448995125552E+01,8.781571166249448E+00,2.694829439654788E+01,2.698034746578452E+01,2.696270280686108E+01,2.699573740123797E+01,2.691567521745780E+01,2.693770634971619E+01,2.692589155262132E+01,2.695192739787867E+01,2.777340093244236E+01,-3.200028247121922E+01,-3.110400788586212E+01,
 5.099200134277344E+02,-2.869645668148710E+01,-3.035326531743712E+01,-2.687925268871953E+01,1.262372640009305E+01,2.937954919224440E+01,4.064989795415332E+01,7.722730780306048E+00,2.644612203677688E+01,2.784589758195921E+01,2.649371766280371E+01,2.782908487376554E+01,2.670198613281804E+01,2.620013567903409E+01,3.492357854665356E+01,2.696976702164519E+01,2.701868178734555E+01,2.693176227395315E+01,2.376280985020321E+01,4.012297380037401E+01,8.874375831272387E+00,2.696111702259514E+01,2.699328120877603E+01,2.697571591168178E+01,2.700885766158875E+01,2.692867535324973E+01,2.695055415930800E+01,2.693940551737766E+01,2.696500470296903E+01,2.793381363050882E+01,-3.171769338404072E+01,-3.073863144709492E+01,
 5.736600151062012E+02,-2.840146336255266E+01,-3.002058213764770E+01,-2.658557680414973E+01,1.271921903871427E+01,2.948068808845805E+01,4.077722015691128E+01,7.783496172224017E+00,2.658872374008244E+01,2.799850204603594E+01,2.663705581756882E+01,2.786458752081856E+01,2.675242751261471E+01,2.624831046958978E+01,3.499236235541980E+01,2.698362313676549E+01,2.703271425224627E+01,2.694573938429212E+01,2.383343897712653E+01,4.025038720350622E+01,8.963952776179763E+00,2.697489959173846E+01,2.700717107708312E+01,2.698966770651973E+01,2.702291205160919E+01,2.694263339936778E+01,2.696436210744945E+01,2.695384214914820E+01,2.697901943580839E+01,2.809164529511321E+01,-3.143607213135660E+01,-3.038275622633057E+01,
 6.374000167846680E+02,-2.813350917501814E+01,-2.971900936545457E+01,-2.631807970120470E+01,1.281203738341459E+01,2.958476496758811E+01,4.090395924507057E+01,7.848784913472996E+00,2.673075233187527E+01,2.815018073236824E+01,2.677990054732617E+01,2.790094638002289E+01,2.680376563096278E+01,2.629706844714799E+01,3.506094096013738E+01,2.699839422408741E+01,2.704766359207506E+01,2.696063599924820E+01,2.390126852140015E+01,4.037696396964119E+01,9.049513472417933E+00,2.698961150172974E+01,2.702198851464513E+01,2.700452170001686E+01,2.703786664315114E+01,2.695751452260856E+01,2.697909862786041E+01,2.696914959976173E+01,2.699393195788181E+01,2.824661788383712E+01,-3.115661430601547E+01,-3.003872848594009E+01,
 7.011400184631348E+02,-2.789446358504862E+01,-2.945038928190309E+01,-2.607814481956754E+01,1.290228445808054E+01,2.969014253507977E+01,4.103034751036294E+01,7.916280461282549E+00,2.687192750279351E+01,2.830009404016676E+01,2.692198205888820E+01,2.793810132300560E+01,2.685584035499045E+01,2.634649898275815E+01,3.512933766369911E+01,2.701404087394325E+01,2.706349243492836E+01,2.697640760425520E+01,2.396641281073030E+01,4.050266256020964E+01,9.130596611046627E+00,2.700521709157796E+01,2.703769902511117E+01,2.702023702854893E+01,2.705368199106636E+01,2.697327734364595E+01,2.699472711006397E+01,2.698529152380523E+01,2.700970178636268E+01,2.839834354450421E+01,-3.088064575798277E+01,-2.970895217941681E+01,
 7.648800201416016E+02,-2.768567912260984E+01,-2.921679167087307E+01,-2.586630742213416E+01,1.298963156031168E+01,2.979462326547090E+01,4.115603469202480E+01,7.985023137029935E+00,2.701158092461674E+01,2.844746146426752E+01,2.706269505844788E+01,2.797596809348341E+01,2.690852225287894E+01,2.639654280007590E+01,3.519771214077596E+01,2.703053101667153E+01,2.708016748402346E+01,2.699302873371004E+01,2.402899256203811E+01,4.062756033186186E+01,9.206858159286732E+00,2.702168554470086E+01,2.705427055846047E+01,2.703678207265798E+01,2.707032423302445E+01,2.698989901274886E+01,2.701121753117459E+01,2.700224156366239E+01,2.702629835498950E+01,2.854657959107672E+01,-3.060972120243198E+01,-2.939580508949710E+01,
 8.286200218200684E+02,-2.750759854348064E+01,-2.901987173814010E+01,-2.568402566932755E+01,1.307371157103995E+01,2.989879740441506E+01,4.128119402773856E+01,8.055303396431254E+00,2.714947773884353E+01,2.859206498836339E+01,2.720174765058086E+01,2.801446882264635E+01,2.696164218374195E+01,2.644707071358976E+01,3.526604877211357E+01,2.704784082629789E+01,2.709766440994749E+01,2.701048188548900E+01,2.408917292751989E+01,4.075178325741383E+01,9.277942382582015E+00,2.703898912588058E+01,2.707167470516622E+01,2.705413573461745E+01,2.708777405650348E+01,2.700735515493067E+01,2.702854330386706E+01,2.701997528706438E+01,2.704370003887717E+01,2.869119349920057E+01,-3.034525668814981E+01,-2.910129057450500E+01,
 8.923600234985352E+02,-2.736067795129549E+01,-2.885919085364583E+01,-2.553330409983251E+01,1.315368409355738E+01,3.000426525079281E+01,4.140604639530425E+01,8.126020919778712E+00,2.728557795305001E+01,2.873383674531804E+01,2.733903154544983E+01,2.805352127457744E+01,2.701502813953890E+01,2.649792763654645E+01,3.533420404026160E+01,2.706595102441601E+01,2.711596228266911E+01,2.702874302538275E+01,2.414716113374083E+01,4.087539597315666E+01,9.343551925097112E+00,2.705710704393921E+01,2.708988991979461E+01,2.707228011439102E+01,2.710601323670992E+01,2.702562880355145E+01,2.704668419560786E+01,2.703847036920655E+01,2.706188831716787E+01,2.883203712851605E+01,-3.008843583311247E+01,-2.882692325671113E+01,
 9.561000251770020E+02,-2.724181246579588E+01,-2.873436160030123E+01,-2.541330580996040E+01,1.322998655507262E+01,3.011294452487055E+01,4.153445700856083E+01,8.199596712037369E+00,2.742781292763334E+01,2.888373006538227E+01,2.748355635882359E+01,2.809345944696931E+01,2.706902830576776E+01,2.654955450002014E+01,3.540281459206368E+01,2.708610431268339E+01,2.713578065836593E+01,2.704886824076407E+01,2.420742053714583E+01,4.100980865549256E+01,9.408564942424121E+00,2.707747619247561E+01,2.711010950529403E+01,2.709266116090989E+01,2.712628508308718E+01,2.704596240752662E+01,2.706708236448495E+01,2.705897881536321E+01,2.708231559753595E+01,2.898142987766796E+01,-2.982533345718841E+01,-2.855919827879577E+01,
 1.019840026855469E+03,-2.709569242965856E+01,-2.863755630776345E+01,-2.526500167174845E+01,1.337527180625755E+01,3.038965518791015E+01,4.192664490194900E+01,8.429838415746078E+00,2.785637594109505E+01,2.934880938498383E+01,2.791795025520279E+01,2.850438837103068E+01,2.761819745236268E+01,2.676446363044906E+01,3.550503480537907E+01,2.718009831744706E+01,2.722688471521480E+01,2.714652238366993E+01,2.437609934968188E+01,4.140483107310330E+01,9.585014707128497E+00,2.717103812707026E+01,2.720157932780388E+01,2.718714482184855E+01,2.721891341064898E+01,2.714367779871096E+01,2.716143793972512E+01,2.715817439649749E+01,2.717765739747204E+01,2.942360515779718E+01,-2.923036216405867E+01,-2.801912643018290E+01,
 1.083580028533936E+03,-2.699575103850555E+01,-2.856717112120847E+01,-2.514067418151383E+01,1.361377574166889E+01,3.065353338412539E+01,4.226534941670945E+01,8.635030733632206E+00,2.821729758862453E+01,2.974109259231473E+01,2.828348032000670E+01,2.928734137231180E+01,2.891568405255592E+01,2.718982822863227E+01,3.562549890844101E+01,2.727884737826205E+01,2.732367456074582E+01,2.725021770844636E+01,2.454202073577059E+01,4.174204123518793E+01,9.721875569190784E+00,2.726935492395535E+01,2.729834996342755E+01,2.728620304909434E+01,2.731639487822053E+01,2.724718765731751E+01,2.726078647347857E+01,2.726351424088962E+01,2.727791661727657E+01,2.979174545881331E+01,-2.876008905416282E+01,-2.765556002340122E+01,
 1.147320030212402E+03,-2.693324211182612E+01,-2.852466232957509E+01,-2.504853988881990E+01,1.391047147482882E+01,3.090206944841017E+01,4.256888299362236E+01,8.822228478802598E+00,2.853147551808038E+01,3.008306927305491E+01,2.860115928232156E+01,3.001634787651129E+01,3.018100890071349E+01,2.771128303679563E+01,3.576268536788612E+01,2.738124168295633E+01,2.742446572285237E+01,2.735687382598903E+01,2.470990371461957E+01,4.203938861709025E+01,9.831653753177390E+00,2.737162850291261E+01,2.739928026750898E+01,2.738885228881021E+01,2.741779296974330E+01,2.735386464190007E+01,2.736400449937836E+01,2.737127996946564E+01,2.738159554535028E+01,3.010899135694818E+01,-2.837722481656681E+01,-2.739968436707848E+01,
 1.211060031890869E+03,-2.691071401998885E+01,-2.851167638413204E+01,-2.499637203206384E+01,1.422781848678719E+01,3.109037108802840E+01,4.279028800474781E+01,8.958831858364409E+00,2.875543192760814E+01,3.032700276373328E+01,2.882760652409274E+01,3.063935575810844E+01,3.126276253218009E+01,2.825468093640847E+01,3.590575306976428E+01,2.748355337777121E+01,2.752563793318089E+01,2.746260643550884E+01,2.484697036945305E+01,4.225944769791649E+01,9.903274662184737E+00,2.747385188137183E+01,2.750047221843588E+01,2.749120877598457E+01,2.751919819798555E+01,2.745954466628794E+01,2.746695580256924E+01,2.747745734894693E+01,2.748471055037937E+01,3.033491329949209E+01,-2.810917202399023E+01,-2.724317494019319E+01,
 1.274800033569336E+03,-2.691969317562590E+01,-2.852765597924452E+01,-2.497548541507507E+01,1.455723431276659E+01,3.127356080488159E+01,4.300724747101256E+01,9.089808499345883E+00,2.896906240385865E+01,3.055942861859229E+01,2.904341274224773E+01,3.119065563932276E+01,3.220816296365720E+01,2.880275636543467E+01,3.605366367397011E+01,2.758899086014036E+01,2.763039384464197E+01,2.757090261261569E+01,2.498774601606651E+01,4.247414614281939E+01,9.964261552287393E+00,2.757936504246604E+01,2.760528585016888E+01,2.759670868946436E+01,2.762406801298464E+01,2.756787553513325E+01,2.757305840897875E+01,2.758600999227819E+01,2.759081570245960E+01,3.054893873026335E+01,-2.787146159403954E+01,-2.712400353312608E+01,
 1.338540035247803E+03,-2.695152110289738E+01,-2.857053127084250E+01,-2.498205600348369E+01,1.482557596381211E+01,3.139467804846877E+01,4.313248463382553E+01,9.161052948125528E+00,2.908539367258772E+01,3.068590492790209E+01,2.916106967398798E+01,3.159437867855045E+01,3.288809257022166E+01,2.924059861663231E+01,3.617553292346946E+01,2.768116788207291E+01,2.772166459033349E+01,2.766495235052123E+01,2.507140598640779E+01,4.259594205675800E+01,9.993966230434497E+00,2.767163635662666E+01,2.769678704432300E+01,2.768901381575230E+01,2.771575803288907E+01,2.766199578597221E+01,2.766576954736496E+01,2.768019446830540E+01,2.768354124679644E+01,3.066608194890657E+01,-2.773138423945823E+01,-2.706520435636286E+01,
 1.402280036926270E+03,-2.701142096819624E+01,-2.863966130633969E+01,-2.501725596587526E+01,1.508009281800114E+01,3.149494608935507E+01,4.324311439769286E+01,9.219590471378956E+00,2.918538562257266E+01,3.079643478783381E+01,2.926243523014594E+01,3.195202195824300E+01,3.347800686110084E+01,2.964952721247560E+01,3.629176769249464E+01,2.777307983360307E+01,2.781316389995851E+01,2.775839499727497E+01,2.514841288943508E+01,4.270608796958899E+01,1.001633163542100E+01,2.776355383409150E+01,2.778829770464801E+01,2.778088578962954E+01,2.780726050008100E+01,2.775537785759914E+01,2.775798598424809E+01,2.777351111075465E+01,2.777570327907857E+01,3.076857539393393E+01,-2.761268523990899E+01,-2.702620082053311E+01,
