ESATAN 2016 sp2;  MODEL MOVE_II_3_3_CASE_382;  TIME 18 December  2016  23:06:19
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-3.336146252624656E+01,-3.519696905196255E+01,-3.171476635149116E+01,6.450968408444340E+00,1.878900879375624E+01,2.887697447863155E+01,2.566833748906859E+00,1.845294646573477E+01,1.954937593850502E+01,1.855006797235265E+01,2.103338656628522E+01,2.030102755097169E+01,1.914261316070795E+01,2.699774072084523E+01,2.058550386111495E+01,2.062726312494423E+01,2.054355496239537E+01,1.569821999562425E+01,2.877017087268928E+01,3.233320973761681E+00,2.057677251195996E+01,2.060516234032897E+01,2.058897470767285E+01,2.061782955940675E+01,2.053896426839411E+01,2.056545956199426E+01,2.053961927304583E+01,2.057677385720002E+01,1.972653500511195E+01,-3.502618334643917E+01,-3.513849843120155E+01,
 6.374000167846680E+01,-3.296766222516008E+01,-3.475918405652791E+01,-3.133676276234446E+01,6.509565623166053E+00,1.883914275177408E+01,2.896797569072938E+01,2.575915622276596E+00,1.854402291212802E+01,1.964813942510693E+01,1.864110931534499E+01,2.103541054222072E+01,2.031443828123371E+01,1.915485224436431E+01,2.703564301542803E+01,2.056747547133698E+01,2.060934012326598E+01,2.052561237873254E+01,1.575167183627510E+01,2.886167889574977E+01,3.315644177593537E+00,2.055859067139146E+01,2.058706928890213E+01,2.057110952001255E+01,2.060004278021036E+01,2.052097249029571E+01,2.054730255447551E+01,2.052238083102455E+01,2.055899123118598E+01,1.984035291770130E+01,-3.481056296385731E+01,-3.480527636221269E+01,
 1.274800033569336E+02,-3.257734578484180E+01,-3.432464266059462E+01,-3.096149316891544E+01,6.568669655469118E+00,1.889093839263204E+01,2.905633939349048E+01,2.590635668422448E+00,1.863619927263149E+01,1.974721564213013E+01,1.873325558515097E+01,2.103876050933359E+01,2.032977902071575E+01,1.916869059752444E+01,2.707364721968759E+01,2.055045740247227E+01,2.059243802864845E+01,2.050868042311063E+01,1.580331016338277E+01,2.895150729055453E+01,3.399872751687453E+00,2.054142058576208E+01,2.056999313787491E+01,2.055424958371004E+01,2.058326219661646E+01,2.050399090369792E+01,2.053016014067908E+01,2.050613391057020E+01,2.054221542113279E+01,1.995446298066991E+01,-3.458721240980805E+01,-3.446448993887412E+01,
 1.912200050354004E+02,-3.219547185331404E+01,-3.389688634212749E+01,-3.059325784552104E+01,6.633468493186726E+00,1.894463808827793E+01,2.914359003428838E+01,2.610976286951601E+00,1.873029323061696E+01,1.984725906122046E+01,1.882730276219379E+01,2.104334472031818E+01,2.034690123283272E+01,1.918399209449124E+01,2.711152752729572E+01,2.053442913034952E+01,2.057652421305255E+01,2.049274025843841E+01,1.585294923975300E+01,2.903981415357897E+01,3.485449223843573E+00,2.052524449005373E+01,2.055390855651630E+01,2.053837223953134E+01,2.056746257010074E+01,2.048800074548728E+01,2.051401153376268E+01,2.049084627347967E+01,2.052641849254838E+01,2.006859110558709E+01,-3.435573096838335E+01,-3.411804347699923E+01,
 2.549600067138672E+02,-3.182520298540033E+01,-3.348001996639195E+01,-3.023531941734661E+01,6.700565768180900E+00,1.900118981075055E+01,2.922951452856364E+01,2.636902384680492E+00,1.882582163912972E+01,1.994827238531771E+01,1.892284217178352E+01,2.104908532099358E+01,2.036569549260824E+01,1.920062426884457E+01,2.714930835582431E+01,2.051936215164503E+01,2.056157057207339E+01,2.047776553949026E+01,1.590042908455046E+01,2.912668380903381E+01,3.571669373014831E+00,2.051003755417619E+01,2.053878992618901E+01,2.052344721984895E+01,2.055261249814334E+01,2.047297692901418E+01,2.049883201777513E+01,2.047648758614106E+01,2.051157133584576E+01,2.018251714308700E+01,-3.411729225584718E+01,-3.376821694172894E+01,
 3.187000083923340E+02,-3.146942124395648E+01,-3.307856035035089E+01,-2.988980872755034E+01,6.768859723619366E+00,1.905984914909848E+01,2.931430470334158E+01,2.667646638269685E+00,1.892246473867666E+01,2.005008910324885E+01,1.901956205796395E+01,2.105591876200672E+01,2.038603800324875E+01,1.921843192233088E+01,2.718700246549022E+01,2.050522830545081E+01,2.054754926741978E+01,2.046372804532351E+01,1.594566642367258E+01,2.921222753659879E+01,3.657515786855021E+00,2.049577240748761E+01,2.052461018039448E+01,2.050944687394017E+01,2.053868310962789E+01,2.045889238837439E+01,2.048459417104801E+01,2.046303432402530E+01,2.049764660500631E+01,2.029600590975942E+01,-3.387322792643968E+01,-3.341749594417804E+01,
 3.824400100708008E+02,-3.113119610557002E+01,-3.269773014157366E+01,-2.955960152916058E+01,6.837597212974805E+00,1.912010092735082E+01,2.939854179026851E+01,2.703451074080004E+00,1.902031812942414E+01,2.015252172262316E+01,1.911748854183974E+01,2.106375582835890E+01,2.040777713064039E+01,1.923718395671479E+01,2.722453495221353E+01,2.049200125871502E+01,2.053443630382165E+01,2.045059962942322E+01,1.598856866986129E+01,2.929658508309854E+01,3.742121291476485E+00,2.048242319583347E+01,2.051134461997946E+01,2.049634434693758E+01,2.052565494993716E+01,2.044571951069984E+01,2.047127176386739E+01,2.045045408754956E+01,2.048461528537628E+01,2.040879610557986E+01,-3.362511566917594E+01,-3.306853635791897E+01,
 4.461800117492676E+02,-3.081383883480840E+01,-3.234018000544213E+01,-2.924599799942723E+01,6.910906658596774E+00,1.918247748835384E+01,2.948205175626664E+01,2.743433393844438E+00,1.911882944709826E+01,2.025543596436961E+01,1.921619536139537E+01,2.107248716362437E+01,2.043067025702945E+01,1.925686504689033E+01,2.726201025574195E+01,2.047964329892646E+01,2.052219601092380E+01,2.043834482162649E+01,1.602902593576552E+01,2.937994231943805E+01,3.824869584372740E+00,2.046995367944438E+01,2.049896069659077E+01,2.048409889844212E+01,2.051348332065626E+01,2.043342206114428E+01,2.045882785745886E+01,2.043869288138008E+01,2.047243541110132E+01,2.052049142148805E+01,-3.337306887440297E+01,-3.272399690916944E+01,
 5.099200134277344E+02,-3.051931764487792E+01,-3.200763780703161E+01,-2.895501290363364E+01,6.985625010268723E+00,1.924686518936116E+01,2.956470590788265E+01,2.786656679011183E+00,1.921770100743470E+01,2.035876744251384E+01,1.931530393614082E+01,2.108209011969643E+01,2.045463207074952E+01,1.927743337121366E+01,2.729956518468520E+01,2.046811784900594E+01,2.051078873772764E+01,2.042692788844644E+01,1.606697905836131E+01,2.946243268714729E+01,3.905066185259591E+00,2.045833267161092E+01,2.048741804719987E+01,2.047267442407479E+01,2.050213011736140E+01,2.042197030234459E+01,2.044723330644119E+01,2.042774088760175E+01,2.046107530424846E+01,2.063073913887871E+01,-3.311881564969488E+01,-3.238591070388851E+01,
 5.736600151062012E+02,-3.024942143988433E+01,-3.170258730780700E+01,-2.868793523405348E+01,7.055294974677365E+00,1.931297230126558E+01,2.964685763668131E+01,2.833734064567322E+00,1.931669416984412E+01,2.046229791906033E+01,1.941458691803444E+01,2.109253712876478E+01,2.047958188397993E+01,1.929864084523381E+01,2.733716413524865E+01,2.045741411959374E+01,2.050020327753950E+01,2.041633756644350E+01,1.610249399616767E+01,2.954421377129893E+01,3.981872504632350E+00,2.044754472982522E+01,2.047670603447701E+01,2.046206317598428E+01,2.049158723345975E+01,2.041134862335053E+01,2.043647172308397E+01,2.041758444562983E+01,2.045052647461882E+01,2.073937384930235E+01,-3.286525699798493E+01,-3.205700830745992E+01,
