ESATAN 2016 sp2;  MODEL MOVE_II_3_2_CASE_282;  TIME 18 December  2016  22:20:14
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-3.334793714321202E+01,-3.518365605677736E+01,-3.170163005072057E+01,6.523351992464540E+00,1.886319337320913E+01,2.896465175956765E+01,2.656186364821673E+00,1.852260953305888E+01,1.962917950429089E+01,1.862006415361278E+01,2.111588997494946E+01,2.038562276920202E+01,1.923152189378646E+01,2.707923319713382E+01,2.067361614310332E+01,2.071546640828781E+01,2.063168432047034E+01,1.577547585738323E+01,2.885797055983053E+01,3.319218162697848E+00,2.066480823182202E+01,2.069315333133992E+01,2.067686650982882E+01,2.070571488955770E+01,2.062697944355601E+01,2.065349066521022E+01,2.062733351796322E+01,2.066463222599377E+01,1.991700368329150E+01,-3.498712146528425E+01,-3.511231519722892E+01,
 6.374000167846680E+01,-3.295700045472851E+01,-3.474706791977481E+01,-3.132647129946125E+01,6.580533322798365E+00,1.891330739756708E+01,2.905507368990255E+01,2.662849333113589E+00,1.861899567815056E+01,1.973972113814446E+01,1.871679272601767E+01,2.111740553090958E+01,2.039832418126277E+01,1.924313050894545E+01,2.711667671126190E+01,2.065471149986279E+01,2.069659420948356E+01,2.061288435274808E+01,1.582801557661039E+01,2.894907333536954E+01,3.399298189896476E+00,2.064591075698954E+01,2.067433801599348E+01,2.065828214936722E+01,2.068720976463047E+01,2.060827952294142E+01,2.063462917477090E+01,2.060937646601805E+01,2.064614069510121E+01,2.004553058090879E+01,-3.477265647427007E+01,-3.478257448256668E+01,
 1.274800033569336E+02,-3.256953655682060E+01,-3.431393543418214E+01,-3.095548645074267E+01,6.638274712656380E+00,1.896490161046444E+01,2.914279039403706E+01,2.674632200052414E+00,1.871687043545133E+01,1.985115072640910E+01,1.881499283789646E+01,2.112024893325160E+01,2.041294811652545E+01,1.925629447976809E+01,2.715422638056200E+01,2.063748545475334E+01,2.067948465396265E+01,2.059573914390904E+01,1.587878057888056E+01,2.903844426162581E+01,3.481148353298321E+00,2.062853103107231E+01,2.065705353292115E+01,2.064121509026605E+01,2.067022245656034E+01,2.059108273486822E+01,2.061727585377674E+01,2.059291429058936E+01,2.062915655414696E+01,2.017487905830225E+01,-3.455069192445170E+01,-3.444517520972884E+01,
 1.912200050354004E+02,-3.219024469553472E+01,-3.388870075521527E+01,-3.059125388756274E+01,6.701712782193590E+00,1.901737250313071E+01,2.922948005577985E+01,2.692231169866012E+00,1.881708322080567E+01,1.996408771404180E+01,1.891555110683406E+01,2.112431273127939E+01,2.042934830015216E+01,1.927094519720589E+01,2.719172168550234E+01,2.062123497931944E+01,2.066334693401218E+01,2.057957328027041E+01,1.592763485316068E+01,2.912629691807177E+01,3.564261289413863E+00,2.061213236876018E+01,2.064074661871692E+01,2.062511526857996E+01,2.065419354856076E+01,2.057486614881906E+01,2.060090387970985E+01,2.057740682340555E+01,2.061313811007692E+01,2.030460837394240E+01,-3.432074846119671E+01,-3.410211162617227E+01,
 2.549600067138672E+02,-3.182264560418684E+01,-3.347473901188638E+01,-3.023628640238801E+01,6.767183910286194E+00,1.907254779658053E+01,2.931485657075742E+01,2.715882037049372E+00,1.891905898106594E+01,2.007831037937396E+01,1.901794385575725E+01,2.112952450079438E+01,2.044741007035475E+01,1.928694655933173E+01,2.722917692046932E+01,2.060593693207221E+01,2.064816117148874E+01,2.056436544812724E+01,1.597441196612954E+01,2.921273159431755E+01,3.647990616802960E+00,2.059669387086020E+01,2.062539629011172E+01,2.060995894353500E+01,2.063911041608301E+01,2.055960847505640E+01,2.058549242098460E+01,2.056281693148487E+01,2.059806021632364E+01,2.043422477664546E+01,-3.408388995976327E+01,-3.375562642984717E+01,
 3.187000083923340E+02,-3.146991882151432E+01,-3.307525358911576E+01,-2.989370542610175E+01,6.833788182587584E+00,1.913051668699558E+01,2.939909384576158E+01,2.744120959652619E+00,1.902256366795553E+01,2.019344282874908E+01,1.912190941491030E+01,2.113582728547559E+01,2.046695378102106E+01,1.930409292323483E+01,2.726659570397288E+01,2.059156220560261E+01,2.063390121687390E+01,2.055008496091313E+01,1.601906502477753E+01,2.929786947716698E+01,3.731323908672195E+00,2.058218958641277E+01,2.061097786794089E+01,2.059571617374570E+01,2.062494364398919E+01,2.054528222878784E+01,2.057101493642028E+01,2.054911417373820E+01,2.058389130082890E+01,2.056330025817392E+01,-3.384145622754640E+01,-3.340814173236825E+01,
 3.824400100708008E+02,-3.113450365678172E+01,-3.269495762867436E+01,-2.956580812064768E+01,6.900863779829259E+00,1.919073638176436E+01,2.948280922536300E+01,2.777816954055480E+00,1.912761952119867E+01,2.030928072204748E+01,1.922739691718688E+01,2.114310039829997E+01,2.048785682122261E+01,1.932209622244072E+01,2.730401116799090E+01,2.057808466898696E+01,2.062054078905443E+01,2.053670422214627E+01,1.606152635304672E+01,2.938181758979508E+01,3.813465110143825E+00,2.056859309672551E+01,2.059746570311458E+01,2.058236115641694E+01,2.061166613786050E+01,2.053185922202056E+01,2.055744464291072E+01,2.053627568367565E+01,2.057060593736520E+01,2.069140056831585E+01,-3.359511990242113E+01,-3.306244706526986E+01,
 4.461800117492676E+02,-3.081970173854991E+01,-3.233711752637679E+01,-2.925358579922248E+01,6.972910516712363E+00,1.925260872873681E+01,2.956581269492112E+01,2.815720263708216E+00,1.923372492844241E+01,2.042536020322730E+01,1.933404839749380E+01,2.115122663382354E+01,2.050990366141336E+01,1.934106496440144E+01,2.734139665222779E+01,2.056547348810858E+01,2.060805016342892E+01,2.052419348239680E+01,1.610167047303221E+01,2.946473104312625E+01,3.893859136652600E+00,2.055587074263232E+01,2.058483007222438E+01,2.056986321000100E+01,2.059924451824484E+01,2.051930631409849E+01,2.054474731241591E+01,2.052425757983963E+01,2.055817277174828E+01,2.081789122923096E+01,-3.334502716675963E+01,-3.272116175050805E+01,
 5.099200134277344E+02,-3.052749260826030E+01,-3.200425930017557E+01,-2.896390282042378E+01,7.046439002568439E+00,1.931591950141517E+01,2.964799309669837E+01,2.857252717932715E+00,1.934031154650727E+01,2.054172667715256E+01,1.944121431607918E+01,2.116023389809787E+01,2.053302120141571E+01,1.936094849818216E+01,2.737882546504163E+01,2.055369773154266E+01,2.059639450607057E+01,2.051252416682201E+01,1.613944283119933E+01,2.954674856180811E+01,3.971862436644555E+00,2.054399770303978E+01,2.057303649271240E+01,2.055819040333838E+01,2.058764633954652E+01,2.050760157859125E+01,2.053290039240191E+01,2.051305424495211E+01,2.054656344534554E+01,2.094227897568539E+01,-3.309283223705974E+01,-3.238619211941718E+01,
 5.736600151062012E+02,-3.025941144983733E+01,-3.169922231133753E+01,-2.869776422448947E+01,7.115077405208384E+00,1.938135194642043E+01,2.972961246581406E+01,2.902154936139868E+00,1.944659462957861E+01,2.065791951616839E+01,1.954817108042047E+01,2.117014123095099E+01,2.055714202251868E+01,1.938148664437431E+01,2.741633270425811E+01,2.054274677718460E+01,2.058556263962700E+01,2.050168528981594E+01,1.617490346625082E+01,2.962811839216723E+01,4.046713710777182E+00,2.053296122230688E+01,2.056207605461081E+01,2.054733348258031E+01,2.057686013883198E+01,2.049673189033252E+01,2.052189031577922E+01,2.050265371838782E+01,2.053576904595437E+01,2.106432865034482E+01,-3.284133701294192E+01,-3.206020462055717E+01,
