ESATAN 2016 sp2;  MODEL MOVE_II_3_3_CASE_323;  TIME 16 December  2016  07:40:23
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-2.928399187726986E+01,-3.072779976852958E+01,-2.783485603784692E+01,1.414882438937456E+00,4.862281192098666E+00,9.001662957896629E+00,-6.987332829692279E-01,1.078820862883128E+00,-1.600362088992216E-01,1.008720031915634E+00,1.134368915149280E+01,1.225002716590740E+01,9.711861773391865E+00,1.354635074326006E+01,9.301527133132888E+00,9.325088802025123E+00,9.276925298303309E+00,4.501794353877804E+00,8.871357435596119E+00,-1.004195091441473E+00,9.291741036393272E+00,9.308423424899354E+00,9.305988219716134E+00,9.323946364982399E+00,9.271237793592512E+00,9.284711334700697E+00,9.274331642475559E+00,9.298132719781179E+00,-1.451344192744493E-01,-3.051274903635772E+01,-2.912178134823109E+01,
 2.868299865722656E+02,-2.962111886704496E+01,-3.079357537575248E+01,-2.717813450549734E+01,2.227711570156021E+00,4.630331683521405E+00,9.706573075308507E+00,1.748352709799791E+00,2.307552005761448E+00,6.097287809614715E-01,2.173221748725991E+00,1.150590737860387E+01,1.250134538071259E+01,9.931927587722130E+00,1.404039009154194E+01,9.330527898461293E+00,9.356803871423535E+00,9.309480127235963E+00,4.303601716165788E+00,9.766257847296689E+00,-1.135316675365829E+00,9.326282135281740E+00,9.343374602429865E+00,9.332409692552931E+00,9.351132980145344E+00,9.306753441453793E+00,9.319498924035813E+00,9.300009886379499E+00,9.324433523555287E+00,5.452929493851096E-01,-2.930010612836076E+01,-2.885705611570640E+01,
 5.736599731445312E+02,-2.677903440365614E+01,-2.936882927556483E+01,-2.590528814242581E+01,2.870694057460779E+00,5.662137715899790E+00,9.555944633669137E+00,2.743643957351042E+00,2.575897877106824E+00,8.818072076861555E-01,2.477948183928333E+00,1.174158984838143E+01,1.291234080528858E+01,1.022255155880080E+01,1.429964087384110E+01,9.385854922226921E+00,9.412297936214044E+00,9.365818741154332E+00,4.258242920264541E+00,9.512196727606392E+00,-1.226995255281352E+00,9.379874891957149E+00,9.397024694032917E+00,9.387858541543316E+00,9.406689313106819E+00,9.361707691575763E+00,9.373356966339164E+00,9.356894067565488E+00,9.380081782864274E+00,5.281221414772461E-01,-2.856701354905837E+01,-2.821673134024312E+01,
 8.604899597167969E+02,-2.564551806817764E+01,-2.757304843806387E+01,-2.412310815585024E+01,2.883625568552176E+00,6.172382756161062E+00,1.066232630002495E+01,2.623393783823804E+00,3.031791310147563E+00,1.716153977536499E+00,2.960015749185475E+00,1.194052212236993E+01,1.318975622764925E+01,1.048097967150743E+01,1.459983810481276E+01,9.453521426033141E+00,9.480092961281359E+00,9.435571003979190E+00,4.746767740685049E+00,1.055539958724808E+01,-8.722708714958356E-01,9.448917585682683E+00,9.465165819867506E+00,9.455366403875200E+00,9.474200622341824E+00,9.433046576573393E+00,9.443056425065782E+00,9.426426833902227E+00,9.447955536884114E+00,1.366139412279660E+00,-2.715709370080710E+01,-2.626626397114161E+01,
 1.147319946289062E+03,-2.745087201539951E+01,-2.891111853622879E+01,-2.432842751764298E+01,4.173408849457283E+00,5.394655931130006E+00,1.063969085487044E+01,2.022596349905517E+00,2.952899449640837E+00,1.645880510961633E+00,2.879038928564284E+00,1.400157802283467E+01,1.650124208732363E+01,1.167962212787868E+01,1.496768943455825E+01,9.780843827886125E+00,9.800096838567825E+00,9.771532701085798E+00,6.161362503916902E+00,1.067996554484312E+01,-9.091451929400123E-02,9.771201781518190E+00,9.783461590775220E+00,9.787524932389362E+00,9.803243216494705E+00,9.767284813785837E+00,9.767611082609550E+00,9.777147991613843E+00,9.783284463626110E+00,1.485759743556355E+00,-2.637452209954324E+01,-2.661097017667572E+01,
 1.434149932861328E+03,-2.931891586855937E+01,-3.019598355191734E+01,-2.771484980949123E+01,4.842508000341453E+00,7.254710301850280E+00,1.204680446122158E+01,1.825945963472681E+00,3.708901565030072E+00,2.281564584045415E+00,3.627780673264600E+00,1.645263249064941E+01,2.068444929178514E+01,1.403369806312929E+01,1.537039559345174E+01,1.026523928890463E+01,1.028010832791681E+01,1.026554079460701E+01,6.469383729423859E+00,1.189378176128654E+01,3.809857907364146E-01,1.025498579529602E+01,1.026390793893620E+01,1.027108978032578E+01,1.028200477032741E+01,1.026032916520301E+01,1.025330347042528E+01,1.027032865075671E+01,1.026911185468516E+01,2.216475537379930E+00,-2.672071092005298E+01,-2.794570165648500E+01,
 1.720979919433594E+03,-3.163652416343687E+01,-3.206020219161128E+01,-2.966508884109610E+01,4.089724633425500E+00,6.944294350596940E+00,1.239168947723658E+01,4.619571381015402E+00,5.087438667645431E+00,3.009971931901024E+00,4.933162327203847E+00,1.516490805398432E+01,1.817583552043297E+01,1.406934829565731E+01,1.595043933259410E+01,1.017165801241921E+01,1.019827186494298E+01,1.016741538337542E+01,6.168232007729444E+00,1.246611437732671E+01,-2.914713341442472E-02,1.016543421428662E+01,1.018117360569806E+01,1.017356709498879E+01,1.019105378409270E+01,1.016286016586195E+01,1.016180454566269E+01,1.016202118650281E+01,1.016908612837854E+01,2.638521560373190E+00,-2.798225343962574E+01,-2.980135725138589E+01,
 2.007809906005859E+03,-3.233134605657762E+01,-3.387864129239110E+01,-3.090427182994143E+01,3.456195729938196E+00,8.220701366469006E+00,1.244607660623772E+01,5.142346811327929E+00,4.887553916933591E+00,3.100587452491772E+00,4.805988084921935E+00,1.424701951698709E+01,1.622642151924672E+01,1.326594565197130E+01,1.609987348228679E+01,1.007117075159279E+01,1.010041264368565E+01,1.006281917063165E+01,5.976636856089717E+00,1.231553613321070E+01,-4.414873068233487E-01,1.006419957552342E+01,1.008208502450726E+01,1.007295608841111E+01,1.009226984251026E+01,1.005711433329132E+01,1.005954437742513E+01,1.005721427658075E+01,1.006752695339567E+01,2.511863946840678E+00,-2.933978532499021E+01,-3.149059938130160E+01,
 2.294639892578125E+03,-3.238999921125853E+01,-3.464828641740926E+01,-3.058550052750372E+01,3.065256236222677E+00,8.039227653344941E+00,1.343241953607315E+01,4.605191377078643E+00,5.104534237247462E+00,3.735716275740327E+00,5.038707272067342E+00,1.377299877037164E+01,1.527660047725533E+01,1.268377439817611E+01,1.632421112932504E+01,9.975583875679256E+00,1.000670696980361E+01,9.968853495573532E+00,6.282842892127217E+00,1.334625936253605E+01,-7.794991732219696E-01,9.973168948219456E+00,9.990571812017274E+00,9.975608958639116E+00,9.995684667757718E+00,9.966676384475107E+00,9.968885199933577E+00,9.958049605950269E+00,9.969871330313103E+00,3.070379555009953E+00,-3.030470144489761E+01,-3.207550123546896E+01,
 2.581469879150391E+03,-3.472331408134303E+01,-3.525142790677210E+01,-3.288110503352657E+01,2.429340947141249E+00,6.842556009579236E+00,1.265224568445167E+01,3.924650374372348E+00,4.771444951737717E+00,3.433058178209477E+00,4.701162292759103E+00,1.357986917848582E+01,1.486904249604944E+01,1.243062079905166E+01,1.650447785221897E+01,9.899142950334275E+00,9.931671809812613E+00,9.891685689602214E+00,6.394114122884713E+00,1.278023491738875E+01,-1.467201243000169E+00,9.896291943551033E+00,9.915171762702050E+00,9.899253545364855E+00,9.920129175271635E+00,9.888908543032288E+00,9.891680231822573E+00,9.880493047632589E+00,9.893263966582063E+00,2.697211475716048E+00,-3.174573496547081E+01,-3.302935089267567E+01,
