ESATAN 2016 sp2;  MODEL MOVE_II_3_1_CASE_123;  TIME 16 December  2016  01:26:43
 
TIME,T604,T654,T706,T1043,T3000,T3012,T5013,T5014,T13012,T14014,T20044,T22043,T24012,T26012,T28012,T29012,T30045,T41102,T70100,T73507,T80037,T80062,T80137,T80162,T80237,T80262,T80337,T80362,T81062,T82000,T82100,
 0.000000000000000E+00,-2.350191797003661E+01,-2.521790668421279E+01,-2.154674316677178E+01,1.437658152100910E+01,2.213821174268890E+01,2.628593225828573E+01,1.548412541393480E+01,1.549484333131000E+01,1.381262592014002E+01,1.535739503797472E+01,2.622742230246498E+01,2.626613425349388E+01,2.488201765784718E+01,2.896890104093928E+01,2.461266380639712E+01,2.463974120671488E+01,2.458658536421862E+01,2.051179389184302E+01,2.584911483595642E+01,1.212321619637030E+01,2.460189438758618E+01,2.462047712806705E+01,2.461784844123977E+01,2.463799326807695E+01,2.458068121345789E+01,2.459452747932559E+01,2.458660467224750E+01,2.460976017401520E+01,1.314362915695190E+01,-2.474676098729820E+01,-2.335747309190275E+01,
 2.868299865722656E+02,-2.386454098098167E+01,-2.530081037434283E+01,-2.087774792513173E+01,1.530069076841667E+01,2.157879569816673E+01,2.683703952256346E+01,2.015648150755689E+01,1.765744643408371E+01,1.500447216900165E+01,1.741428744895514E+01,2.646776181271797E+01,2.661687541340319E+01,2.519137333298855E+01,2.960666916393319E+01,2.465914160408769E+01,2.469017546713479E+01,2.463773558438157E+01,2.006013918706801E+01,2.679349487352035E+01,1.177805019007324E+01,2.465524568926646E+01,2.467463999744277E+01,2.466098164456309E+01,2.468243122223117E+01,2.463539501434769E+01,2.464817942093069E+01,2.462849891700392E+01,2.465264048174402E+01,1.411644845190699E+01,-2.322403010438342E+01,-2.312134290314317E+01,
 5.736599731445312E+02,-2.070087652300760E+01,-2.378577052388225E+01,-1.933532316340987E+01,1.611289568440069E+01,2.342857974986677E+01,2.692717554578456E+01,2.108772513596979E+01,1.800356824823855E+01,1.573268996228171E+01,1.784256528629863E+01,2.684004828216713E+01,2.723741493704670E+01,2.564638297324720E+01,2.994433505045897E+01,2.474891438135839E+01,2.478017339589751E+01,2.472999765988827E+01,2.027975054488260E+01,2.660265415317101E+01,1.185786507993622E+01,2.474357847328811E+01,2.476286087771825E+01,2.475054101913216E+01,2.477195479068619E+01,2.472614137227718E+01,2.473699846930460E+01,2.472068240887143E+01,2.474260881873312E+01,1.431321155164724E+01,-2.231096878531917E+01,-2.200868356370338E+01,
 8.604899597167969E+02,-1.966470704755766E+01,-2.191819115158620E+01,-1.761888641979582E+01,1.626175600274109E+01,2.385988016003725E+01,2.826420514149452E+01,2.074859491336910E+01,1.845090782579376E+01,1.673941402395602E+01,1.831670023014482E+01,2.714525121862047E+01,2.765098512072528E+01,2.604851807761234E+01,3.037280268190131E+01,2.485937431022082E+01,2.489093946262673E+01,2.484282164525047E+01,2.102194012031199E+01,2.788961286575432E+01,1.234508797282849E+01,2.485496737230757E+01,2.487350256190981E+01,2.486130356962169E+01,2.488290601747363E+01,2.484043194567278E+01,2.484915236541664E+01,2.483503984915367E+01,2.485397135372049E+01,1.535741372985431E+01,-2.101908796932921E+01,-2.022498940850114E+01,
 1.147319946289062E+03,-2.149263558908548E+01,-2.326517364344334E+01,-1.776767718566393E+01,1.769063242731649E+01,2.218029564626624E+01,2.801720840958772E+01,1.977272496042792E+01,1.825827353351756E+01,1.649117761622993E+01,1.812606768779608E+01,2.925691986386320E+01,3.098197281717194E+01,2.747356833661642E+01,3.081187557656541E+01,2.524950416890730E+01,2.527292577299277E+01,2.524405251010286E+01,2.288762088877001E+01,2.796566129274554E+01,1.334205280300025E+01,2.524008571301010E+01,2.525392760943815E+01,2.525655826810116E+01,2.527447163319821E+01,2.524027821042036E+01,2.523708363862986E+01,2.525231518704605E+01,2.525300084212261E+01,1.548515312047295E+01,-2.035989844304991E+01,-2.066343635022043E+01,
 1.434149932861328E+03,-2.348180569254943E+01,-2.459528150223684E+01,-2.129301894067430E+01,1.847150811074540E+01,2.573858266360948E+01,3.093706040618607E+01,1.882552615960434E+01,1.944799890073453E+01,1.767239770062622E+01,1.930939546254653E+01,3.173971646005986E+01,3.505805848581051E+01,3.011232063598935E+01,3.136148896296481E+01,2.585144329727591E+01,2.586987228889125E+01,2.585645261420439E+01,2.322346499090763E+01,3.045786995114270E+01,1.417546377700027E+01,2.584055170275752E+01,2.585075571039597E+01,2.585818411297797E+01,2.587088679763475E+01,2.585136664427266E+01,2.583969090907388E+01,2.586600233346287E+01,2.585729904678562E+01,1.683637400914434E+01,-2.104778975886335E+01,-2.242860232749003E+01,
 1.720979919433594E+03,-2.595173856112775E+01,-2.653873640372439E+01,-2.338341027344250E+01,1.766752943523823E+01,2.448183768155086E+01,3.028278880285288E+01,2.402355380590496E+01,2.161414164493438E+01,1.838041764314126E+01,2.134320501331642E+01,3.049857020340103E+01,3.248217287202132E+01,2.999872191482986E+01,3.218678476731272E+01,2.584076242268739E+01,2.587358662152908E+01,2.583873038009713E+01,2.263608318134205E+01,3.029624273958104E+01,1.346451367682803E+01,2.583450291756943E+01,2.585331365958833E+01,2.584310129585681E+01,2.586411439084305E+01,2.583423742896747E+01,2.583100055918587E+01,2.583582598686618E+01,2.583885024912680E+01,1.695635716507197E+01,-2.275218372503431E+01,-2.456458240686828E+01,
 2.007809906005859E+03,-2.663678222272845E+01,-2.843761114353213E+01,-2.464969077520343E+01,1.706588366428641E+01,2.662670303971220E+01,3.051475869066255E+01,2.422369600997906E+01,2.089462695607400E+01,1.840441779342602E+01,2.075080483433715E+01,2.968864035130358E+01,3.072050730277472E+01,2.912313343548916E+01,3.229759196151403E+01,2.580300493996461E+01,2.583851689525119E+01,2.579685102400646E+01,2.245174959906559E+01,3.008633185241561E+01,1.292600318016219E+01,2.579642937000743E+01,2.581732491872245E+01,2.580464704087893E+01,2.582744033417096E+01,2.579107216128277E+01,2.579178993751677E+01,2.579171100082685E+01,2.579922127921142E+01,1.660364563640924E+01,-2.430443800142851E+01,-2.619974413072094E+01,
 2.294639892578125E+03,-2.664693810079794E+01,-2.921666147473135E+01,-2.426927168125934E+01,1.671616170289857E+01,2.585767668356532E+01,3.155747411121794E+01,2.333160957912569E+01,2.091050899924576E+01,1.902168945064296E+01,2.078161346146694E+01,2.931723455293832E+01,2.996103481423814E+01,2.859384905537657E+01,3.254823663665253E+01,2.577045294898368E+01,2.580788892771445E+01,2.576554327384293E+01,2.293958129159153E+01,3.125882978975624E+01,1.268816326338757E+01,2.576828366260811E+01,2.578878700629349E+01,2.577054729929383E+01,2.579420034122112E+01,2.576334889725870E+01,2.576397394186897E+01,2.575590724831894E+01,2.576481511475037E+01,1.718153868343948E+01,-2.504535373780638E+01,-2.650336868686986E+01,
 2.581469879150391E+03,-2.907092291907855E+01,-2.981882282699567E+01,-2.665408601404910E+01,1.609329811235764E+01,2.342026186682597E+01,2.976792201787099E+01,2.175056821621855E+01,1.995841449455600E+01,1.795060338671732E+01,1.982160024845040E+01,2.919525321905143E+01,2.965647672518053E+01,2.840711103080881E+01,3.270400159385053E+01,2.575759968492690E+01,2.579651744473734E+01,2.575170485454160E+01,2.285678191318305E+01,2.988036299919408E+01,1.179390307890310E+01,2.575519003157158E+01,2.577721315779443E+01,2.575743340595490E+01,2.578191350396613E+01,2.574890930144290E+01,2.575045043517886E+01,2.573981565515946E+01,2.575119129603684E+01,1.621194606088240E+01,-2.677629753373727E+01,-2.768543933981294E+01,
